;+
;> TEMPLATE31 = '00188-0856'
;> TEMPLATE61 = '00183-7111'
;
;  The 3.1 um H20 ice feature of 00188-0856 has tau=1.8
;  from Imanishi et al. (2006), and the 6.1 um H20 ice 
;  feature from the GTO Spitzer/IRS spectrum has tau=0.46,
;  giving tau(3.1)/tau(6.1)~4 for water ice.
;
;  The 00183-7111 GTO Spitzer/IRS spectrum was used as the
;  6.1 um template since it contains *no* detectable 6.2 um
;  PAH emission.
;-

;~            WAVE          OPACITY
     4.6294591E+00    0.0000000E+00
     4.6392090E+00    0.0000000E+00
     4.6489795E+00    0.0000000E+00
     4.6587706E+00    0.0000000E+00
     4.6685823E+00    0.0000000E+00
     4.6784146E+00    0.0000000E+00
     4.6882677E+00    0.0000000E+00
     4.6981415E+00    0.0000000E+00
     4.7080361E+00    0.0000000E+00
     4.7179515E+00    0.0000000E+00
     4.7278878E+00    0.0000000E+00
     4.7378451E+00    0.0000000E+00
     4.7478233E+00    0.0000000E+00
     4.7578225E+00    0.0000000E+00
     4.7678428E+00    0.0000000E+00
     4.7778842E+00    0.0000000E+00
     4.7879467E+00    0.0000000E+00
     4.7980305E+00    0.0000000E+00
     4.8081355E+00    0.0000000E+00
     4.8182617E+00    0.0000000E+00
     4.8284093E+00    0.0000000E+00
     4.8385782E+00    0.0000000E+00
     4.8487686E+00    0.0000000E+00
     4.8589804E+00    0.0000000E+00
     4.8692138E+00    0.0000000E+00
     4.8794687E+00    0.0000000E+00
     4.8897451E+00    0.0000000E+00
     4.9000433E+00    0.0000000E+00
     4.9103631E+00    0.0000000E+00
     4.9207046E+00    0.0000000E+00
     4.9310680E+00    0.0000000E+00
     4.9414531E+00    0.0000000E+00
     4.9518602E+00    0.0000000E+00
     4.9622891E+00    0.0000000E+00
     4.9727400E+00    0.0000000E+00
     4.9832129E+00    0.0000000E+00
     4.9937079E+00    0.0000000E+00
     5.0042250E+00    0.0000000E+00
     5.0147642E+00    0.0000000E+00
     5.0253257E+00    0.0000000E+00
     5.0359093E+00    0.0000000E+00
     5.0465153E+00    0.0000000E+00
     5.0571436E+00    0.0000000E+00
     5.0677943E+00    0.0000000E+00
     5.0784674E+00    0.0000000E+00
     5.0891630E+00    0.0000000E+00
     5.0998811E+00    0.0000000E+00
     5.1106218E+00    0.0000000E+00
     5.1213851E+00    0.0000000E+00
     5.1321711E+00    0.0000000E+00
     5.1429798E+00    0.0000000E+00
     5.1538112E+00    0.0000000E+00
     5.1646655E+00    0.0000000E+00
     5.1755426E+00    0.0000000E+00
     5.1864427E+00    0.0000000E+00
     5.1973656E+00    0.0000000E+00
     5.2083116E+00    0.0000000E+00
     5.2192807E+00    0.0000000E+00
     5.2302729E+00    0.0000000E+00
     5.2412882E+00    0.0000000E+00
     5.2523267E+00    0.0000000E+00
     5.2633884E+00    0.0000000E+00
     5.2744735E+00    0.0000000E+00
     5.2855818E+00    0.0000000E+00
     5.2967136E+00    0.0000000E+00
     5.3078689E+00    0.0000000E+00
     5.3190476E+00    0.0000000E+00
     5.3302499E+00    0.0000000E+00
     5.3414757E+00    0.0000000E+00
     5.3527252E+00    0.0000000E+00
     5.3639984E+00    0.0000000E+00
     5.3752954E+00    0.0000000E+00
     5.3866161E+00    0.0000000E+00
     5.3979607E+00    0.0000000E+00
     5.4093291E+00    0.0000000E+00
     5.4207215E+00    0.0000000E+00
     5.4321379E+00    0.0000000E+00
     5.4435784E+00    0.0000000E+00
     5.4550429E+00    0.0000000E+00
     5.4665316E+00    0.0000000E+00
     5.4780445E+00    0.0000000E+00
     5.4895816E+00    0.0000000E+00
     5.5011430E+00    0.0000000E+00
     5.5127288E+00    0.0000000E+00
     5.5243390E+00    0.0000000E+00
     5.5359736E+00    0.0000000E+00
     5.5476327E+00    0.0000000E+00
     5.5593164E+00    0.0000000E+00
     5.5710247E+00    0.0000000E+00
     5.5827577E+00    3.2001716E-04
     5.5945153E+00    2.4952862E-03
     5.6062977E+00    4.7749973E-03
     5.6181050E+00    1.0597605E-02
     5.6299371E+00    1.8710700E-02
     5.6417941E+00    2.9671967E-02
     5.6536761E+00    4.2915864E-02
     5.6655831E+00    6.0519398E-02
     5.6775152E+00    7.5448369E-02
     5.6894724E+00    8.9591737E-02
     5.7014548E+00    1.0729034E-01
     5.7134625E+00    1.4280766E-01
     5.7254954E+00    1.9739507E-01
     5.7375537E+00    2.6426055E-01
     5.7496374E+00    3.3366461E-01
     5.7617465E+00    4.0300340E-01
     5.7738811E+00    4.7029644E-01
     5.7860413E+00    5.3567383E-01
     5.7982271E+00    5.8965645E-01
     5.8104385E+00    6.3177170E-01
     5.8226757E+00    6.7129073E-01
     5.8349386E+00    7.0943914E-01
     5.8472274E+00    7.4577091E-01
     5.8595421E+00    7.7443935E-01
     5.8718826E+00    7.9798408E-01
     5.8842492E+00    8.1399130E-01
     5.8966418E+00    8.2855153E-01
     5.9090606E+00    8.4002932E-01
     5.9215054E+00    8.5008463E-01
     5.9339765E+00    8.5700299E-01
     5.9464739E+00    8.6320398E-01
     5.9589975E+00    8.6783588E-01
     5.9715476E+00    8.7598566E-01
     5.9841241E+00    8.9147929E-01
     5.9967270E+00    9.0767276E-01
     6.0093565E+00    9.2400279E-01
     6.0220126E+00    9.5447472E-01
     6.0346954E+00    9.6881072E-01
