;+
;> _WAVE  = 'um'
;> _K_ABS = 'cm+2 g-1'
;-

;~            WAVE            K_ABS
;     1.0000000E-03    1.0000000E+00
     1.4033700E+01    4.5018066E+02
     1.4064600E+01    4.2386700E+02
     1.4126500E+01    4.2517571E+02
     1.4251100E+01    4.9397250E+02
     1.4376800E+01    6.4117750E+02
     1.4599400E+01    6.1501307E+02
     1.4793000E+01    5.5472752E+02
     1.4890700E+01    4.8720029E+02
     1.5088200E+01    5.8568230E+02
     1.5187900E+01    7.8342700E+02
     1.5288200E+01    9.5153400E+02
     1.5389300E+01    1.0694700E+03
     1.5559100E+01    9.7480250E+02
     1.5627600E+01    7.9280950E+02
     1.5730900E+01    6.4056339E+02
     1.5904500E+01    5.3712600E+02
     1.6221900E+01    5.6049450E+02
     1.6473100E+01    6.4865444E+02
     1.6691500E+01    7.4584395E+02
     1.6950000E+01    1.0005635E+03
     1.7099500E+01    1.2446407E+03
     1.7174700E+01    1.3611942E+03
     1.7212500E+01    1.4628000E+03
     1.7250300E+01    1.5689562E+03
     1.7402500E+01    1.9809850E+03
     1.7440700E+01    2.1327950E+03
     1.7479100E+01    2.2349695E+03
     1.7517500E+01    2.3381550E+03
     1.7556000E+01    2.4735900E+03
     1.7749700E+01    2.5273200E+03
     1.7945700E+01    2.5833597E+03
     1.8143700E+01    2.6458142E+03
     1.8223600E+01    2.7736726E+03
     1.8303800E+01    2.8751100E+03
     1.8465200E+01    2.9813202E+03
     1.8587200E+01    2.9351873E+03
     1.8710000E+01    2.8355375E+03
     1.8833700E+01    2.8774556E+03
     1.8916600E+01    3.1270300E+03
     1.8958100E+01    3.3419500E+03
     1.8999800E+01    3.4431615E+03
     1.9041600E+01    3.5672700E+03
     1.9083400E+01    3.6894619E+03
     1.9125400E+01    3.8345500E+03
     1.9209500E+01    3.9803850E+03
     1.9251700E+01    4.0907663E+03
     1.9294000E+01    4.2021250E+03
     1.9421500E+01    4.4426300E+03
     1.9507000E+01    4.5178014E+03
     1.9679100E+01    4.4196738E+03
     1.9722300E+01    4.3312580E+03
     1.9765700E+01    4.2429707E+03
     1.9809100E+01    4.1409100E+03
     1.9852600E+01    4.0296464E+03
     1.9940000E+01    3.7673650E+03
     1.9983800E+01    3.6612450E+03
     2.0071800E+01    3.4371450E+03
     2.0115900E+01    3.3017150E+03
     2.0160100E+01    3.1744700E+03
     2.0204400E+01    2.9958850E+03
     2.0248800E+01    2.8844244E+03
     2.0337900E+01    2.6626504E+03
     2.0472300E+01    2.5220209E+03
     2.0607600E+01    2.6505476E+03
     2.0652900E+01    2.7105669E+03
     2.0880800E+01    2.3275800E+03
     2.0926700E+01    2.1385900E+03
     2.1018800E+01    2.0311609E+03
     2.1111300E+01    1.8960500E+03
